name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Intercloud II VLS,TDB_yun_jian3,,,11000,10000,,150,28,1000,2,400,1,0.1,1,HIGH_EXPLOSIVE,0,,1,1,1,,0,0,0,0,,600,100,10,200,"SYSTEM,DO_NOT_AIM,PD_ONLY,PD",,,Traverser Design Bureau,,Point Defence,,,,,,,,,,4365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fracture Missile VLS,TDB_duanhen,,,11000,10000,,800,28,1000,2,400,1,0.1,1,HIGH_EXPLOSIVE,0,,1,1,1,,0,0,0,0,,100,5,15,400,"SYSTEM,DO_NOT_AIM,DO_NOT_CONSERVE,FIRE_WHEN_INEFFICIENT",,,Traverser Design Bureau,,Remote Support,,,,,,,,,,4365
Fracture Missile VLS,TDB_duanhen2,,,11000,10000,,800,28,1000,2,400,1,0.1,1,HIGH_EXPLOSIVE,0,,1,1,1,,0,0,0,0,,100,5,15,400,"SYSTEM,DO_NOT_AIM,DO_NOT_CONSERVE,FIRE_WHEN_INEFFICIENT",,,Traverser Design Bureau,,Remote Support,,,,,,,,,,4365
Fracture II VLS,TDB_duanhen3,,,11000,10000,,800,28,1000,2,400,1,0.1,1,HIGH_EXPLOSIVE,0,,1,1,1,,0,0,0,0,,400,400,15,400,"SYSTEM,DO_NOT_AIM,DIRECT_AIM",,,Traverser Design Bureau,,Remote Support,,,,,,,,,,4365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electromagnetic Shock Cannon,TDB_A,,,4000,900,,200,1500,200,0,0,,,,ENERGY,150,,0,0.5,,,0,5,1,3,,900,,,,SYSTEM,,,Northland Fragrance (Unique),,EMP Strike,,,,,,,,,,
T.D. Beam Gun,TDB_T.D,,,400,900,1000,,,0,0,0,,,,ENERGY,,800,0.01,1,0.5,1,,,,,90000,,,,,SYSTEM,,,Northland Fragrance (Unique),,Multirole,,,,,,,,,,
Transformation Machine Guns,TDB_bian_ge2,,,1000,450,,50,,3,30,10,,,,HIGH_EXPLOSIVE,0,,0,0.15,1,,0,20,1,10,,800,,,30,SYSTEM,,,Traverser Design Bureau,,Anti-Ship,,,,,,,,,,
Heavy Cold Sky Launcher,TDB_foehn2,,,600,1600,,1200,,75,20,,2,0.1,,HIGH_EXPLOSIVE,0,,0,10,1,,0,0,0,0,,700,150,4,500,SYSTEM,,,Traverser Design Bureau,,Anti-Ship,,,,,,,,,,
Total Reflection Machine Gun,TDB_quan_fan_she,,,600,400,,70,10,0,20,0,,,,ENERGY,20,,0.1,1,8,0.1,0,6,0.5,2,,1200,,,,SYSTEM,,,Traverser Design Bureau,,General,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pansy Skill Missile,TDB_san_se_jin,,,11000,10000,,250,100,1000,2,400,1,0.1,1,ENERGY,0,,1,1,1,,0,0,0,0,,400,100,10,200,"SYSTEM,DO_NOT_AIM,PD_ONLY,PD",,,Traverser Design Bureau,,Suppression,,,,,,,,,,4365
Pansy Bullet,TDB_san_se_jin1,,,11000,10000,,50,200,1000,2,400,1,0.1,1,ENERGY,0,,1,1,1,,0,0,0,0,,750,100,10,200,"SYSTEM,DO_NOT_AIM,PD_ONLY",,,Traverser Design Bureau,,Suppression,,,,,,,,,,4365
Pansy Bullet 2,TDB_san_se_jin2,,,11000,10000,,250,0,1000,2,400,1,0.1,1,ENERGY,0,,1,1,1,,0,0,0,0,,700,100,10,200,"SYSTEM,DO_NOT_AIM,PD_ONLY",,,Traverser Design Bureau,,Suppression,,,,,,,,,,4365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warning ⚠ Laboratory ⚠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special effects experimental weapon,TDB_cai_yu2,,,1800,700,,120,40,10,15,40,,,,ENERGY,150,,0,0.3,,,,,,,,2000,,,,SYSTEM,,,"Sequestration in progress [if you see this, please report it, thanks]】",,Experimental System,,,,,,,,,,22.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
