id,type,text1,text2,text3,notes
TDB_bian_ge,SHIP,"The Transformation Class mech was an immature attempt to use the technology gathered from other worlds, but it was clearly not a successful attempt, as the humanoid body was too heavily occupied by the huge rotor chain gun system and anti-aircraft missiles, making it impossible to install shield generators. Even with the small space deflectors installed, their slow speed and large size made them easy targets for air superiority fighters. However, the robustness of these mechs and their ability to land in combat were the key factors that attracted the attention of the Design Bureau and were constantly adapted to produce the current Transformer mechs.",,,
TDB_man_fan_she,SHIP,"A super-heavy escort gunship designed by the Traveller Association, the Diffuse Reflection class uses several point defence lasers of various types to provide a lifeline to friendly forces in need of escort, with an additional ion beam mounted to allow it to repel smaller ships. It is worth noting, however, that the Diffuse Reflection sacrifices the shield generator in order to be able to carry this amount of point defence. Resilence isn't a problem, however; the heavy armour mounted on the gunship will ensure its survival.",,,
TDB_pian_zhen_guang1,SHIP,"The bomber was naturally valued by the Design Bureau as an essential element in carrier-based anti-ship operations, and thus the Polarised Light class was designed. Its powerful firepower and reliable shields all point to a bomber that can be trusted.",,,
TDB_fan_guang_yuan,SHIP,"The Floodlight, a mass-produced drone manufactured by the Traveller Design Office, is primarily used for air superiority by the fleet and is equipped with a point defence laser and a barely adequate shield generator to protect its fragile hull. Of course, its low price and large numbers as a mass-produced drone make up for any shortcomings.",,,
,,,,,
,,,,,
TDB_gugu,SHIP,"Appearing as nothing more than a Kite-Class shuttle in Traversers' Association paint, the sensors detected a missile mount modification similar to that of the Kite-Class, but the area that should have been the viewing dome returned an incomprehensible reading.

A little bit of green and blue floats by in a trance, like the sound of an empty valley, the song is wispy, gentle and slightly husky. As you sing, you seem to hear another song resonating with it. When you try to track down the song, it drifts away into the starry sky with the wind.

Yet you have the feeling that she is looking forward to singing with you.",,,
TDB_hui_feng,SHIP,"It is a ship made entirely of nanobots, a warship and an ark of civilisation.

It is a fully automated ship, but for some reason it has reserved enough space for a single crewmember - and should you ask Greywind about it, she simply stares at you with naught a word about the matter.",,,
TDB_Pansy,SHIP,"This ship incorporates a mysterious and elaborate system powered by an unknown energy source.

Project No. A-1348B39, an experimental ship of the Traverser Design Bureau to verify psychic energy technology, was later renamed "" Pansy "" according to the logbook.
The ship was discovered from a deep, uninhabited space and managed to restore some of its systems to operation before returning to civilisation and resuming operations.

The ship's logbook contains several letters to and from home, as well as an unsent draft.
[Comm log C8-02D1-205709]
""Have a safe day, don't miss it.""
[Status: Undelivered]",,,
TDB_yun_cheng,SHIP,"A superb cargo ship designed by the Traveller Design Bureau. The successor to the Gentle Breeze class, the Cloud City class also has a powerful and sophisticated salvage system and is capable of carrying large amounts of cargo while transporting significant amounts of fuel. If you're ready to explore the universe and don't have a suitable transport ship, she's the one to choose!",,,
TDB_yu_yun,SHIP,"A heavy defensive platform built into the Cumulonimbus-Class aviation fortress, capable of being reassembled through the fortress' nano hangars after destruction, carrying a battery of weapons that provide a degree of close-in firepower for the fortress.",,,
TDB_ji_liu,SHIP,"The massive hull is equipped with a jump system built on a replica of the Reality Perforator, which allows the ship to rip or distort reality to achieve long-range leaps, at the end of which the space around the ship shakes to damage hostile targets and has a chance to repair a small amount of its own structure. Good turret range and manoeuvrability combined with its own drones also allow it to support allies in the vicinity or to make tactical moves at a very fast rate.

One of the products of the Traversers' Association's Overwatch programme is an unmanned battleship with a special AI, which is widely deployed around the Traveller Design Bureau for defensive purposes.",,,
TDB_yu_ren,SHIP,"The Rainblade-Class unmanned frigates have great manoeuvrability and are often seen as front-runners in the Overwatch defence fleet. This of course means that they tend to be among the top ranked ships in the entire fleet in terms of battle damage, but this disadvantage is completely compensated for by the cheapness of their construction. The Rainblade still class inherits the downside of the entire unmanned series - an extremely lacking weapons configuration.

One of the products of the Traversers' Association's Overwatch programme, it is an unmanned warship with a special AI that is widely deployed for defence around the Traverser Design Bureau, but for a number of reasons this design is not suitable for solo cruises.",,,
TDB_xi_yu,SHIP,"The Drizzle-class unmanned frigate is one of the few unmanned ships in the Overwatch Network that has a large number of weapons, and provides a bare minimum of air defence and escort for small to medium sized unmanned fleets with its panoptic light sources.

One of the products of the Traversers' Association's Overwatch programme, it is an unmanned warship with a special AI that is widely deployed for defence around the Traverser Design Bureau, but for a number of reasons this design is not suitable for solo cruises.",,,
TDB_chuan_yun,SHIP,"The Cloud Piercer class Unmanned Early Warning Ship (EWS) is one of the cores of the Overwatch programme, providing friendly forces with a wide field of view and electronic countermeasures support through the large early warning radar it carries. But naturally, its most noteworthy feature is its ability to disable the phasing coils of enemy phased ships.

One of the products of the Traversers' Association's Overwatch programme, it is an unmanned warship with a special AI that is widely deployed for defence around the Traverser Design Bureau, but for a number of reasons this design is not suitable for solo cruises.",,,
TDB_feng_ya,SHIP,"The Windstorm-Class of unmanned destroyers relies on their own weapons enhancement systems to form the backbone of the Overwatch network. Though it also inherits the disadvantages of the entire design lineup - that being extremely undergunned.

One of the products of the Traversers' Association's Overwatch programme, it is an unmanned warship with a special AI that is widely deployed around the Traverser Design Bureau for defensive purposes.",,,
TDB_tai_yang_yu,SHIP,"A completely overhauled ship, the Sunshower is equipped with a huge weapon system that can easily carry all types of missiles, a built-in Fox Turnip Vertical Launch Array and a unique tactical system that allows her to easily suppress small to medium sized enemy fleets. To enable her to cope with the complexities of the battlefield, the Design Bureau has also given her the ability to respond to enemy forces in close proximity, with built-in drones and an ample array of secondary weapons to enable her to deal with approaching forces.

One of the products of the Traversers' Association's Overwatch programme, it is an unmanned warship with a special AI that is widely deployed around the Traverser Design Bureau for defensive purposes.",,,
TDB_gu_yu,SHIP,"The first blueprints for the Valley Rain-Class existed from the time the Design Bureau was formally established, and the weakness of the Association's military forces at the time led to the Valley Rain-Class being designed not as a specialist missile cruiser, but as a more versatile design. As a result, her predecessor was often used as the flagship of a small fleet. But with the development of the Association's military power and the creation of the Traverser Design Bureau it was clear that this design was no longer relevant. That heavy versatility focus often meant a loss of any specialist competency. Thus the creation of the modern Valley Rain-Class guided missile cruiser - she was redesigned by the Design Bureau, with enhanced missile capabilities and the development of the Bureau's Intercloud Vertical Launch Array. However, even with the specialisation, you can still see hints of her predecessor in her body.

Translated with www.DeepL.com/Translator (free version)",,,
TDB_chuan_yue_xue_zhe,SHIP,"The special strategic importance of phasing technology as a ""submarine"", as it was on Old Earth and other worlds, successfully attracted the attention of the Design Bureau. This led to the design of the Traverser Scholar class as an experimental subspace phase cruiser, whose extreme manoeuvrability combined with the lethal weapons built into its hull made it an unpredictable hunter in the field. As a result, the ship isoften sent out on decapitation missions by the Design Office is a single ship.",,,
TDB_qiong_ding,SHIP,"The Dome was originally designed to act as a support defence for the fleet, and in order to adapt to the complex and changing conditions of battle the Dome did not opt for extreme methods such as fitting a large number of point defences to strengthen its defences, but instead chose to become a versatile force, using the combination of aircraft and shipboard firepower to achieve its objectives. This, however, resulted in the Dome being less proficient in all aspects and struggling more against larger ships. However, the Dome's reliability is greatly enhanced by its unique Sky Dome defence system, as it is able to deploy its nanofactories to provide friendly forces with the opportunity to change the situation when it is most needed.",,,
TDB_ren_zhao_guang,SHIP,"It is a warship that has been dusty for years, and everything inside the ship has been tidied up neatly.

You make your way to the command room and find a letter on the captain's seat in the command room, and by the handwriting you are pretty sure it is still written by the same young girl. The letter gives you an account of the ship's experiences.

As her name suggests, she was once the embodiment of the ambitions of a broken empire, but as the empire declined and broke down she radiated a faint light in a different form.

This light did not fade with the fall of the empire, her will has been carried on by future generations, and her mission has been fulfilled.

-- ""Now I give her to you, that you may use her to write your own brilliance.""",,,
TDB_shuang_hen,SHIP,"The Frostbite-Class Battlecruiser is a capital ship with considerable manoeuvrability. The Space Shift system inside her, one of the Design Bureau's favoured developments, gives her great damage reduction and speed during activation, allowing her to be relatively flexible in the face of complex battlefield conditions. The Frostbite is also a good sub-capital hunter and killer, which is why it is widely deployed by the Association in various fleets.",,,
TDB_yu_lian,SHIP,"The Rain Curtain-Class Destroyer is the backbone of the Traversers' Association fleet, with its excellent gun design, high energy focus system and excellent and reliable shields making it capable of taking on even larger ships. The ship's reliability and handling have earned her a very good reputation throughout the Persean Sector, and as a direct result the Rain Curtain is the most popular ship sold in the Association.",,,
TDB_feng_xian,SHIP,"The Windstring-class is often used as the vanguard of the fleet to clear the way or to get ahead of the fleet, which can lead to heavy losses in large-scale fleet battles. Well, it is obvious that this is a common problem with most conventional frigates. In order to reduce casualties and increase the reliability of the ship the frigate is equipped with flash and a powerful shield generator, which gives the Windstring greater survivability.",,,
TDB_he_feng,SHIP,"The Gentle Breeze-Class is a cargo ship designed for explorers, capable of carrying a considerable amount of cargo and a certain amount of fuel. And with its built-in salvage hull, the Wakefield will shine in your salvage expedition.",,,
TDB_hengfeng,SHIP,"As the mainstay of the Traveller Association, the Constant Wind-Class is able to attack enemy fleets from a sufficient distance thanks to its six Fracture Veritcal Launch Arrays and advanced targeting system. This is reinforced by the thermal circulation system built into the hull. No sensible captain would take the output capabilities of the Constant Wind lightly.",,,
TDB_ji_yu_yun,SHIP,"The Cumulonimbus-class Aviation Fortress is one of the Association's largest warships. In combat, this behemoth has nine decks that can carry an extremely large fleet of aircraft. As her name implies, she will bring a rain of aerial firepower to the enemy and will be absolutely overwhelming in the face of cloudy conditions.

As one of the most powerful, expensive and advanced assets of the Association, she will be deployed as the flagship of only the strongest main fleets, for which she is equipped with a full range of advanced battlefield command systems. Of course, as an mobile fortress, although mostly of the type that sits in the rear, she is also fully capable of entering the front line of battle alongside friendly forces thanks to her reliable shields and the multi-layered defence provided by the unmanned knights guarding her - the Resonance Defence Drones and the Rain Cloud class defence platforms. In normal times, she can also fend off small and medium-sized ships that try to sneak up on her back.",,,
TDB_ji_yu_yun_you,SHIP,What are you looking at? Don't you know I'm only a module?,,,
TDB_ji_yu_yun_zuo,SHIP,What are you looking at? Don't you know I'm only a module?,,,
TDB_xing_yun,SHIP,"One aspect of the Constant Wind-Class battleship was a break-away missile vertical launch unit that was of immense use in fleet operations, but due to the difficulty of building the Constant Wind class its numbers were not sufficient to meet the needs of the Association. The design bureau therefore designed a relatively inexpensive arsenal of ships specifically designed to carry missiles. With its powerful array of missile firepower, the Gyokumo became a popular support ship in the Persean Sector, as the feel of the missiles firing in unison was a great source of security.",,,
TDB_ceng_ji_yun,SHIP,"The Stratocumulus-Class is the Design Bureau's most frequently used medium carrier, with an ample missile array and a special space-time acceleration system giving her the ability to provide substantial fire support to the front line alongside air strikes. She is designed to match the Heron class within the Sector, and as such, she is as fast as the Heron and deserves to be called a high-speed carrier.

According to official sources, the Stratocumulus-Class did receive help from an allied faction [Blue Sea Fisheries] in its construction, but according to gossip, it was actually converted to a symmetrical shape due to OCD on the designers' part.",,,
,,,,,
,,,,,
TDB_yun_chui,WEAPON,云锤转轮炮采用了转管的形式来达到连续发射的目的，在长时间开火的情况下会导致射击精度的严重下降，但仍不妨碍她是一款不错的反盾武器，甚至在紧急情况下其特制的弹丸在如暴雨般射速的加持下能用来拦截敌方导弹。,,,
TDB_bian_ge2,WEAPON,搭载于变革机甲左臂的重型转轮炮，巨大的体积占据了机甲不少的空间。,,,
TDB_quan_fan_she,WEAPON,全反射超级战机的主要武器。,,,
TDB_foehn,WEAPON,专门为偏振光级轰炸机研制的机载鱼雷，能给予无护盾保护的目标重创。,,,
TDB_jue_xiang1,WEAPON,"穿越者设计局设计的专为防空而生的导弹,优秀的追踪能力配合内置的微型纳米锻炉让其成为了敌军空军的噩梦.",,,
TDB_han_chao,WEAPON,寒潮空雷发射器抛射的无动力感应炸弹，能在靠近敌方目标时发生爆炸，对目标区域内的敌军造成范围杀伤。,,,
TDB_feng_zu,WEAPON,协会为喜欢实弹舰船的舰长研发的实弹近防炮，风阻近防炮依靠两个三管转轮炮向目标快速倾泻大量弹丸来拦截目标。同样，其狂爆的射速也导致了其在长时间连续开火时射击精度会快速下降。,,,
TDB_yuen_ying,WEAPON,云影质子撞击炮能够发射一种特殊的弹头，在命中敌方船体后可以使其内部的质子团撞针撞击原子放出能量并引发分子融毁链式反应，这使得其对舰体的毁灭性是不可小觑的。,,,
TDB_yun_ying_L,WEAPON,云影质子撞击炮的大型版本，越空防壁计划最疯狂的产物。转轮形式的发射机构使其能连续开火六次，巨量装药所引发分子溶解链式反应能彻底毁灭在反应区域内的一切，哪怕星域内最为坚固的船体也不例外。,,,
TDB_tai_yang_feng,WEAPON,太阳风磁轨炮能以较高的速度与极高的精确的将特制弹药投射至足够远的地方，该弹药能在接触对方舰船装甲的瞬间融毁装甲和舰船结构，为了达到这种威力太阳风每一次开火后都需要一定时间冷却并且每次开火也代表着巨量的幅能产生。,,,
TDB_ni_lan,WEAPON,逆岚频射光束炮通过激发预制的充能电容器来实现短时间内的快速火力爆发，但这也导致每次全部激发完毕后需要一定时间重新为电容器充能。,,,
TDB_A,WEAPON,使用特制的电磁弹射器将被离子包裹的弹丸以较大的速度推出，这将是失去护盾保护的船只的噩梦。,,,
TDB_foehn2,WEAPON,内置与穿越学者中的大杀器，她的重型并不体现在她的单发威力上，而在于其能通过内置的纳米锻炉以稳定的速度再生弹药。,,,
TDB_yun_jian,WEAPON,云间垂发导弹作为一款防空导弹是穿越者设计局非常成功的设计，拥有的先进的导航 AI 和优秀的破片效果，让其成为了敌军机群的噩梦，每一发都能给予敌军战机范围与伤害都相当可观的杀伤。其配套的纳米锻炉可以源源不断的为其补充弹药以保证其在大规模冲突时的续航能力。,,,
TDB_yun_jian2,WEAPON,云间垂发导弹作为一款防空导弹是穿越者设计局非常成功的设计，拥有的先进的导航 AI 和优秀的破片效果，让其成为了敌军机群的噩梦，每一发都能给予敌军战机范围与伤害都相当可观的杀伤。其配套的纳米锻炉可以源源不断的为其补充弹药以保证其在大规模冲突时的续航能力。,,,
TDB_T.D,WEAPON,内置于人造光内部的集成光束炮，常规激发迅速。内置的特殊反应堆可以用溢散的能量对预充能电容充能以便在关键时刻给武器过充能来给予敌人重重的一击。,,,
TDB_ning_hua,WEAPON,凝华等离子火炮能将敌舰装甲和护盾撕裂的同时造成可观的电弧 EMP 来瘫痪敌舰其余系统。,,,
TDB_cai_yu,WEAPON,裁雨本质上是强化版本的脉冲激光炮。高压的能量脉冲能以极快的速度命中敌军舰船。,,,
TDB_jie_shuang,WEAPON,蝗虫的协会改造版本，加装了微型锻炉为发射器不断提供弹药，这在保证了此款导弹拥有比原型更好的续航力的同时也牺牲了部分弹舱容量。,,,
TDB_jie_shuang_m,WEAPON,轻型的结霜导弹发射架，体量虽小但依旧保留了优秀的内置锻炉来恢复弹药。,,,
TDB_lian_yi,WEAPON,穿越者协会研发的等离子速射炮。擅长用成片的弹幕与 EMP 能力持续压制敌人。,,,
TDB_duanhen,WEAPON,内置于舰体的重型导弹垂发单元，和内置的纳米锻炉相连可以源源不断的发射威力巨大的断痕巡航导弹。,,,
TDB_duanhen2,WEAPON,内置于舰体的重型导弹垂发单元，和内置的纳米锻炉相连可以源源不断的发射威力巨大的断痕巡航导弹。,,,
TDB_Focuspd,WEAPON,协会设计的点防御激光炮，相比于其他势力各具特色的点防御系统她显得各个方面都算是比较平庸，但合理的性价比以及让她成为了一款不错的点防御系统。,,,
TDB_changkongpod,WEAPON,穿越者协会设计的一款能量支援导弹，恢复速度快 射程可观。是一款值得肯定的支援导弹。,,,
TDB_changkongpod_l,WEAPON,长空导弹发射舱的大型版本，但和其他的大型导弹走的是扩容更大弹仓路线不同，这款导弹是换装了更加先进的纳米锻炉——这使得她在战场上能以一定的密度持续向敌军投送火力。,,,
TDB_shuang_jiang,WEAPON,"霜降防空炮能发射一种不稳定等离子炮弹，可以在接触敌人时发生小规模爆裂的同时带有几乎约等于没有的 EMP 效果。

同时霜降防空炮搭载了先进的火控系统，这使得她不论是面对成片的导弹还是战机都显得游刃有余。",,,
TDB_jue_xiang,WEAPON,"绝响防空导弹是穿越者设计局设计的专为防空而生的导弹,优秀的追踪能力配合内置的微型纳米锻炉让其成为了敌军空军的噩梦.",,,
TDB_hu_luo_bo,WEAPON,内置于太阳雨级 无人武库舰 的垂发阵列能快速向敌人投射压制用导弹，内置的纳米锻炉可以保证她在高强度的战场持续投送火力。,,,
TDB_hu_luo_bo2,WEAPON,内置于太阳雨级 无人武库舰 的垂发阵列能快速向敌人投射压制用导弹，内置的纳米锻炉可以保证她在高强度的战场持续投送火力。,,,
,,,,,
＃技能描述,,,,,
TDB_yq_gugu,SHIP_SYSTEM,Provides 20% maximum speed increase and shield damage reduction for friendly forces within 1000 units of themselves. If this ship is the flagship. the range of the system is increased to 1500 units.,,,
TDB_targetingfeed,SHIP_SYSTEM,Activates a hyperspace accelerator to speed up the time flow of the ship.,,,
TDB_san_se_jin,SHIP_SYSTEM,"Temporarily improves the ship in various ways; greatly increases the maneuverability and maximum speed; weapon flux cost is reduced by 30%, incoming shield damage is reduced by 10%, and lastly ballistic and energy weapon damage is increased by 15%. At the end of the duration, releases an energy barrage; the higher final flux level, the more projectiles are fired.",,,
TDB_ban_fei,SHIP_SYSTEM,The UAV mounted on both sides of the fuselage takes off to provide escort.,,,
TDB_na_mi,SHIP_SYSTEM,Allows onboard nanobots to start self-replicating and immediately begin repairs to the Gray Wind.,,,
TDB_yu_yun1,SHIP_SYSTEM,Launches the Defense Platforms to provide escort for the mothership.,,,
TDB_yu_yun,SHIP_SYSTEM,Launches the Defense Platforms to provide escort for the mothership.,,,
TDB_pao_ji,SHIP_SYSTEM,启动雷达引导，为火炮提供额外的射程，但启动期间引擎出力下降。,,,
TDB_tuxi,SHIP_SYSTEM,"Causes the ship to enter unstable space, offsetting damage significantly by shifting from space to space, and significantly increasing the ship's burst speed while the system is active, but reduces the ship's manoeuvrability due to the instability of space movement.",,,
TDB_li_zi_pao,SHIP_SYSTEM,"Causes the pre-charging capacitor of the built-in T.D Beam Gun to overcharge, thereby increasing the final output of the weapon",,,
TDB_turretdeploy,SHIP_SYSTEM,"Deploys a heavy automatic turret to the target area to assist in area defense, with the type of turret varying depending on the protocol. The turret is equipped with a micro drive which allows limited movement of the turret for tactical support.",,,
TDB_turretdeploy2,SHIP_SYSTEM,"Deploys a heavy automatic turret to the target area to assist in area defense, with the type of turret varying depending on the protocol. The turret is equipped with a micro drive which allows limited movement of the turret for tactical support.",,,
TDB_xie_zhen_jn,SHIP_SYSTEM,Eight Resonant Unmanned Defense Platforms are deployed to provide defence for the mothership and can be reproduced from the ship's hangar after being destroyed.,,,
TDB_dao_dan,SHIP_SYSTEM,"Increase the damage of existing missiles by 15% during the duration of the skill. When the skill duration ends, 8 phase torpedoes with 800 fragmentation damage are deployed, and the torpedoes will automatically track when approaching a hostile ship.",,,
TDB_wu_qi,SHIP_SYSTEM,"Activates a heat radiation loop coil, which recovers some of the flux from weapon fire and uses it to enhance local energy weapons. However, due to technical limitations the conversion efficiency of the coils is very low and can seriously disrupt the operation of the engine during activation.",,,
TDB_yq,SHIP_SYSTEM,"A short-jump system modified with a hyperspace penetrator that causes huge spatial fluctuations at the end of the jump, dealing damage to non-friendly targets, with a small chance of repairing its own hull.",,,
TDB_SY,SHIP_SYSTEM,"Enables the shipboard radar to operate at full power and provide a large number of field-of-view scans within a certain period of time. Special radar waves will interfere with the phase coils of hostile phase ships within a range of 1500 units, reducing the phase fluctuation hard flux threshold by 50%",,,
,,,,,
